offset,tonic,key,chord
12.0,Eb,M,V7
15.0,Eb,M,I
18.0,Eb,M,V7
21.0,Ab,M,V7
23.0,Ab,M,DimVII
24.0,Ab,M,VI
26.0,Ab,M,I
27.0,Ab,M,V
30.0,Eb,M,V
34.0,Eb,M,I
36.0,Eb,M,V
39.0,Eb,M,I
42.0,Eb,M,V
45.0,Ab,M,V7
47.0,Ab,M,DimVII
48.0,Ab,M,VI
51.0,Ab,M,V
54.0,Eb,M,V7
57.0,Eb,M,I
62.0,Ab,M,V7
63.0,Ab,M,I
70.0,C,M,DimVII7
72.0,Ab,M,I
75.0,C,M,DimVII7
78.0,Ab,M,I
83.0,Ab,M,V7
86.0,Ab,M,I
95.0,C,M,DimVII7
98.0,Ab,M,I
101.0,C,M,DimVII7
104.0,Ab,M,I
107.0,Ab,M,V7
110.0,Ab,M,I
113.0,Eb,M,V7
116.0,Eb,M,I
119.0,Eb,M,V7
122.0,Ab,M,V
124.0,Ab,M,DimVII
126.0,Ab,M,VI
128.0,Ab,M,V
131.0,Eb,M,V7
134.0,Eb,M,I
137.0,Eb,M,V7
140.0,Eb,M,I
143.0,Eb,M,V
146.0,Ab,M,V
148.0,Ab,M,DimVII7
150.0,Ab,M,VI
152.0,Ab,M,V
155.0,Eb,M,V
158.0,Eb,M,I
160.0,Ab,M,V
161.0,Ab,M,I
167.0,C,m,VII
170.0,Ab,M,I
173.0,C,m,VII
176.0,Ab,M,I
179.0,Ab,M,V7
182.0,Ab,M,I
191.0,C,M,VII
194.0,Ab,M,I
197.0,C,M,VII
200.0,C,M,I
203.0,C,M,V7
206.0,C,M,I
209.0,Db,M,V7
215.0,Db,M,IV
218.0,Db,M,I
221.0,Db,M,V
227.0,Db,M,IV
228.0,Db,M,I
229.0,Db,M,V
230.0,Db,M,I
233.0,Db,M,V
239.0,Db,M,IV
242.0,Db,M,I
246.0,Db,M,II
250.0,Db,M,I
251.0,Db,M,V
254.0,Db,M,I
260.0,Ab,M,V7
266.0,Ab,M,I
270.0,C,M,DimVII7
271.0,Ab,M,I
272.0,Ab,M,V7
281.0,Ab,M,I
284.0,Ab,M,V7
290.0,Ab,M,I
294.0,C,M,DimVII7
295.0,Ab,M,I
296.0,Ab,M,V7
302.0,Ab,M,I
308.0,Db,M,V7
314.0,Db,M,IV
317.0,Db,M,I
320.0,Db,M,V7
326.0,Db,M,IV
327.0,Db,M,I
328.0,Db,M,V7
329.0,Db,M,I
332.0,Db,M,V7
338.0,Db,M,IV
341.0,Db,M,I
344.0,Db,M,IV
346.0,Db,M,II
349.0,Db,M,I
350.0,Db,M,V7
353.0,Db,M,I
356.0,Gb,M,V7
362.0,Gb,M,I
368.0,Db,M,V7
377.0,Db,M,I
380.0,Gb,M,V7
386.0,Gb,M,I
392.0,Db,M,V7
401.0,Db,M,I
407.0,Bb,m,I
410.0,Bb,m,V+
413.0,Bb,m,I
416.0,Bb,m,II7
419.0,Bb,m,I
422.0,Bb,m,V+7
425.0,Bb,m,I
434.0,Bb,m,V+7
437.0,Bb,m,I
440.0,Bb,m,II7
443.0,Bb,m,I
446.0,Bb,m,V+7
449.0,Bb,m,I
455.0,Gb,M,V7
461.0,Gb,M,I
467.0,Db,M,V7
476.0,Db,M,I
479.0,Gb,M,V7
485.0,Gb,M,I
491.0,Db,M,V7
500.0,Db,M,I
506.0,Gb,M,I
509.0,Gb,M,IV
512.0,Gb,M,V
515.0,Gb,M,I
521.0,Gb,M,IV
524.0,Gb,M,V
527.0,Gb,M,I
533.0,Gb,M,II
536.0,Gb,M,V
539.0,Gb,M,I
545.0,Gb,M,IV
548.0,Gb,M,V7
551.0,Gb,M,I
554.0,Eb,m,V
559.0,Eb,m,I
560.0,Eb,m,V+7
571.0,Eb,m,I
572.0,Eb,m,V+
578.0,Eb,M,V
581.0,Eb,M,I
584.0,Eb,M,V
587.0,Ab,M,V
589.0,Ab,M,DimVII
591.0,Ab,M,VI
593.0,Ab,M,V
596.0,Eb,M,V7
599.0,Eb,M,I
602.0,Eb,M,V
605.0,Eb,M,I
608.0,Eb,M,V
611.0,Ab,M,V7
612.5,Ab,M,DimVII7
614.0,Ab,M,VI
616.0,Ab,M,I
617.0,Ab,M,V
620.0,Eb,M,V7
623.0,Eb,M,I
625.0,Ab,M,V7
626.0,Ab,M,I
632.0,C,M,DimVII7
635.0,Ab,M,I
638.0,C,m,DimVII7
641.0,Ab,M,I
644.0,Ab,M,V7
647.0,Ab,M,I
656.0,C,M,DimVII7
659.0,Ab,M,I
662.0,C,M,DimVII7
665.0,Ab,M,I
668.0,Ab,M,V7
671.0,Ab,M,I
673.0,Ab,M,VI
674.0,Eb,M,V7
677.0,Eb,M,I
680.0,Eb,M,V7
683.0,Ab,M,V7
685.0,Ab,M,DimVII7
686.0,Ab,M,VI
689.0,Ab,M,V
692.0,Eb,M,V7
695.0,Eb,M,I
698.0,Eb,M,V
701.0,Eb,M,I
704.0,Eb,M,V7
715.0,Eb,M,DimVII7
716.0,Eb,M,VI
718.0,Eb,M,I
719.0,Eb,M,V
722.0,Eb,M,V7
728.0,Eb,M,I
746.0,Ab,M,V7
752.0,Ab,M,I
764.0,Eb,M,V7
788.0,Eb,M,I
792.0,Db,M,DimVII7
794.0,Eb,M,I
795.0,Eb,M,DimVII7
797.0,Eb,M,I
800.0,Eb,M,V7
803.0,Eb,M,I
806.0,Eb,M,V7
809.0,Ab,M,V
812.0,Ab,M,I
818.0,Ab,M,V
824.0,Eb,M,V
827.0,Eb,M,I
830.0,Eb,M,V
833.0,Eb,M,I
836.0,Eb,M,V
839.0,Eb,M,I
842.0,Eb,M,V
845.0,Eb,M,I
848.0,Eb,M,V
872.0,Eb,M,I
