offset,tonic,key,numeral
0.0,G,m,I
4.0,G,m,IV
8.0,G,m,VII
12.0,G,m,III
16.0,G,m,VI
20.0,G,m,II
24.0,G,m,V+
32.0,G,m,I
36.0,G,m,IV
40.0,G,m,VII
44.0,G,m,III
48.0,G,m,VI
52.0,G,m,II
56.0,G,m,V+
60.0,,G,I
61.0,C,m,V+7
64.0,C,m,I
66.0,C,m,IV
68.0,C,m,VII
70.0,C,m,III
72.0,C,m,VI
74.0,C,m,IV
76.0,C,m,II7
78.0,C,m,V+7
80.0,C,m,I
82.0,C,m,IV
84.0,C,m,VII
86.0,C,m,III
88.0,C,m,VI
90.0,C,m,IV
92.0,C,m,II7
94.0,C,m,V+7
96.0,C,m,I
98.0,C,m,IV
100.0,C,m,VII
102.0,C,m,III
104.0,C,m,VI
106.0,C,m,IV
108.0,C,m,II7
110.0,C,m,V+7
112.0,C,m,I
116.0,C,m,IV
120.0,C,m,VII
124.0,C,m,III
128.0,C,m,VI
132.0,C,m,IV
136.0,C,m,II7
140.0,C,m,V+7
144.0,C,m,I
148.0,C,m,IV
152.0,C,m,VII
156.0,C,m,III
160.0,C,m,VI
164.0,C,m,IV
168.0,C,m,II7
172.0,C,m,V+7
176.0,C,m,VI
178.0,C,m,V+7
180.0,C,m,I
184.0,C,m,IV
188.0,C,m,VII
192.0,C,m,III
196.0,C,m,VI
200.0,C,m,II
204.0,C,m,V+
208.0,C,m,I
216.0,C,m,IV
220.0,C,m,VII
224.0,C,m,III
228.0,C,m,VI
232.0,C,m,II
236.0,C,m,V+
240.0,C,m,I
244.0,C,m,V+7
248.0,C,m,I
252.0,C,m,DimVII7
254.0,C,m,I
258.0,C,m,V+7
260.0,C,m,I
