offset,tonic,key,chord
0.0,C,M,I
4.0,C,M,IV
6.0,C,M,I
8.0,C,M,V
10.0,C,M,I
12.0,C,M,V
14.0,C,M,I
16.0,C,M,I
18.0,C,M,V
20.0,C,M,I
22.0,C,M,V
24.0,C,M,I
26.0,C,M,V
28.0,C,M,I
30.0,C,M,V
32.0,C,M,I
36.0,C,M,IV
38.0,C,M,I
40.0,C,M,V
42.0,C,M,I
44.0,C,M,V
46.0,F,M,V
48.0,F,M,I
52.0,F,M,IV
54.0,F,M,I
56.0,F,M,V
58.0,F,M,I
60.0,F,M,V
62.0,F,M,I
64.0,F,M,I
66.0,F,M,IV
68.0,F,M,I
70.0,F,M,V
72.0,F,M,I
74.0,F,M,IV
76.0,F,M,I
78.0,F,M,V
80.0,F,M,I
84.0,F,M,IV
86.0,F,M,I
88.0,F,M,IV
90.0,F,M,I
92.0,F,M,V
94.0,F,M,I
