offset,tonic,key,numeral
0.833,A,M,I
3.0,A,M,?
4.0,A,M,VI
4.5,A,M,V7
5.0,A,M,I
6.0,A,M,I
8.0,A,M,V7
8.833,A,M,?
10.0,A,M,VI
11.0,A,M,I
11.666,A,M,V7
12.0,A,M,I
12.666,A,M,V7
13.0,A,M,I
14.0,A,M,I
16.0,A,M,V7
17.833,A,M,?
18.0,A,M,VI
19.0,A,M,I
19.5,A,M,V7
20.0,A,M,I
20.5,A,M,V7
21.0,A,M,I
22.0,A,m,I
24.0,E,M,I
26.0,E,M,#IVdim
26.833,E,M,V7
27.0,E,M,I
28.0,E,M,II7
28.5,E,M,?
29.0,E,M,I
30.0,E,M,Iaug
31.0,A,M,I
33.0,A,M,V7
34.833,A,M,?
35.0,A,M,VI
36.0,A,M,I
36.666,A,M,V7
37.0,A,M,I
37.5,A,M,?
38.0,A,M,VI
39.0,A,M,I
39.5,A,M,V7
40.0,A,M,I
40.5,A,M,V7
41.0,A,M,I
