chord,altchord,measure,beat,totbeat,timesig,op,no,mov,length,global_key,local_key,pedal,numeral,form,figbass,changes,relativeroot,phraseend
.Eb.I,,1,1,1,2/4,127,12,1,2.5,Eb,I,,I,,,,,FALSE
V43,,2,1.5,3.5,2/4,127,12,1,1.5,Eb,I,,V,,43,,,FALSE
I,,3,1,5,2/4,127,12,1,2.5,Eb,I,,I,,,,,FALSE
V2,,4,1.5,7.5,2/4,127,12,1,1.5,Eb,I,,V,,2,,,FALSE
I6,,5,1,9,2/4,127,12,1,1,Eb,I,,I,,6,,,FALSE
vi,,5,2,10,2/4,127,12,1,1,Eb,I,,vi,,,,,FALSE
IV\\\\,,6,1,11,2/4,127,12,1,2,Eb,I,,IV,,,,,TRUE
IV,,7,1,13,3/4,127,12,1,1,Eb,I,,IV,,,,,FALSE
ii6,,7,2,14,3/4,127,12,1,1,Eb,I,,ii,,6,,,FALSE
V2,,7,3,15,3/4,127,12,1,1,Eb,I,,V,,2,,,FALSE
I6,,8,1,16,3/4,127,12,1,2,Eb,I,,I,,6,,,FALSE
vi64,,8,3,18,3/4,127,12,1,1,Eb,I,,vi,,64,,,FALSE
ii7,,9,1,19,3/4,127,12,1,2,Eb,I,,ii,,7,,,FALSE
V43,,9,3,21,3/4,127,12,1,1,Eb,I,,V,,43,,,FALSE
I6(7),,10,1,22,3/4,127,12,1,1,Eb,I,,I,,6,7,,FALSE
I6,,10,2,23,3/4,127,12,1,1,Eb,I,,I,,6,,,FALSE
@none,,10,3,24,3/4,127,12,1,1,Eb,I,,,,,,,FALSE
IV,,11,1,25,3/4,127,12,1,1,Eb,I,,IV,,,,,FALSE
ii6,,11,2,26,3/4,127,12,1,1,Eb,I,,ii,,6,,,FALSE
V2,,11,3,27,3/4,127,12,1,1,Eb,I,,V,,2,,,FALSE
V2,,12,1,28,3/4,127,12,1,1,Eb,I,,V,,2,,,FALSE
I6,,12,2,29,3/4,127,12,1,1,Eb,I,,I,,6,,,FALSE
IV,,12,3,30,3/4,127,12,1,1,Eb,I,,IV,,,,,FALSE
V7,,13,1,31,3/4,127,12,1,1,Eb,I,,V,,7,,,FALSE
ii43,,13,2,32,3/4,127,12,1,1,Eb,I,,ii,,43,,,FALSE
IV6,,13,3,33,3/4,127,12,1,0.5,Eb,I,,IV,,6,,,FALSE
viio,,13,3.5,33.5,3/4,127,12,1,0.5,Eb,I,,vii,o,,,,FALSE
I\\\\,,14,1,34,3/4,127,12,1,1,Eb,I,,I,,,,,TRUE
V43,,14,2,35,3/4,127,12,1,1,Eb,I,,V,,43,,,FALSE
