chord,freq,contains
V7,6623,y
I,5897,y
V,4415,y
i,2236,y
IV,1381,y
ii,1240,y
#viio7,928,
vi,734,y
viio,609,y
iv,595,y
#viio,439,
VI,376,y
viio7,280,y
ii7,192,y
iii,153,y
vi7,149,y
III,143,y
iio,126,
bII,122,y
ii%7,121,
v,120,y
Ger,113,y
vii%7,80,y
V9,59,
iv7,55,
VII,49,y
It,48,y
I+,44,
bVII,37,
#vii%7,32,
vii,30,
bVI,26,y
V+,26,
iiio,24,
bIII,19,
VII7,19,
#io7,18,
#ivo7,18,
#iio7,16,
#vio7,16,
III7,16,
iio7,16,
i7,15,
iii7,15,y
II,14,
IV+,14,
VI7,14,
#vo7,13,
Fr,13,y
iiio7,12,
IV7,12,y
#io,11,
#ivo,11,
vii7,10,
bVII7,8,
IVM7,8,
VIM7,8,
vo,7,
#vi%7,6,
#vii7,6,
bvii,6,
II7,6,
vio7,6,
#iio,5,
#iv%7,5,
III+,5,
IM7,5,
v%7,5,
v7,5,
vio,5,
#iv,4,
#vii,4,
#vii%,4,
#vio,4,
ivo7,4,
V+7,4,
#i,3,
#iiio,3,
#vi7,3,
#vo,3,
biii,3,
bIV7,3,
bVI7,3,
iv%7,3,
ivo,3,
#iii,2,
#iiio7,2,
#V,2,
#vi,2,
bII+,2,
bII7,2,
bIII7,2,
I7,2,y
ii%,2,
iii%7,2,
vi%7,2,
VI+7,2,
vii%,2,
vo7,2,
#III,1,
#iv7,1,
#VII,1,
#vii+,1,
#VII+,1,
bi,1,
bI,1,
bi7,1,
bii7,1,
bIIM7,1,
biio,1,
biv,1,
bv,1,
bV7,1,
Ger7,1,
IIIM7,1,
io,1,
VI+,1,
VM7,1,
