0,1,2,3,4,5,6,7,8,9,10,11,key,major/minor,chordStyle
0.125,0.0,0.125,0.125,0.0,0.25,0.0,0.25,0.125,0.0,0.0,0.0,11,1,1
0.25,0.0,0.25,0.25,0.0,0.125,0.0,0.0,0.0,0.0,0.125,0.0,11,1,1
0.25,0.0,0.25,0.125,0.0,0.0,0.0,0.0,0.125,0.0,0.25,0.0,11,1,6
0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.375,0.0,0.375,0.0,11,1,6
0.375,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.125,0.0,0.0,0.375,11,1,4
0.375,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.125,0.0,0.0,0.375,11,1,4
0.125,0.0,0.375,0.375,0.0,0.0,0.0,2.125,0.0,0.0,0.0,0.0,11,1,1
1.125,0.0,0.375,0.375,0.0,0.0,0.0,1.125,0.0,0.0,0.0,0.0,11,1,1
2.0,0.0,0.375,0.5,0.0,0.5,0.0,0.5,0.125,0.0,0.0,2.0,11,1,12
1.25,0.0,1.375,2.5,0.0,0.375,0.0,0.25,0.125,0.0,0.125,0.0,11,1,1
0.125,0.0,0.0,2.375,0.0,0.0,0.375,0.0,0.0,0.125,0.0,0.0,11,1,10
0.0,0.0,2.125,0.0,0.0,0.25,0.0,0.25,0.25,0.0,0.0,0.125,11,1,12
0.125,0.0,0.0,1.125,0.0,1.125,0.0,0.25,0.25,0.0,0.125,0.0,11,1,1
0.25,0.0,0.25,0.25,0.0,0.125,0.0,2.0,0.0,0.0,0.125,0.0,11,1,1
0.125,0.0,0.0,0.0,0.375,1.375,0.0,1.0,0.125,0.0,0.0,0.0,11,1,4
0.125,0.0,0.375,0.375,0.0,2.0,0.0,0.125,0.0,0.0,0.0,0.0,11,1,4
0.375,0.0,1.375,0.0,0.0,1.125,0.0,0.0,0.125,0.0,0.0,0.0,11,1,4
0.0,0.0,0.125,0.0,1.0,1.0,0.0,0.375,0.375,0.0,0.0,0.125,6,1,11
0.125,0.0,0.0,0.0,0.0,2.25,0.0,0.375,0.25,0.0,0.0,0.0,6,1,4
0.0,0.0,0.125,0.125,0.0,0.25,0.0,0.375,0.125,0.0,0.0,1.0,11,1,11
0.0,0.0,0.125,0.25,0.0,0.25,0.0,2.25,0.125,0.0,0.0,0.0,11,1,11
1.25,0.0,0.0,0.25,0.0,0.0,0.0,1.25,0.0,0.0,0.0,0.25,11,1,1
2.0,0.0,0.25,0.25,0.0,0.375,0.0,0.0,0.125,0.0,0.0,0.0,11,1,2
0.0,0.0,0.375,0.0,0.0,0.375,0.0,0.0,0.25,0.0,0.0,2.0,11,1,11
1.125,0.0,1.125,0.25,0.0,0.125,0.0,0.125,0.125,0.0,0.0,0.125,11,1,2
0.25,0.0,0.0,2.25,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.25,11,1,1
0.0,0.0,0.0,2.0,0.0,0.125,0.0,0.125,0.375,0.0,0.0,0.375,11,1,1
0.0,0.0,2.25,0.0,0.0,0.25,0.0,0.0,0.25,0.0,0.0,0.25,11,1,2
0.125,0.0,0.125,1.125,0.0,1.25,0.0,0.25,0.125,0.0,0.0,0.0,11,1,16
0.25,0.0,0.0,0.25,0.25,0.0,0.0,2.25,0.0,0.0,0.0,0.0,11,1,1
0.0,0.125,0.25,0.0,0.125,0.0,0.0,2.25,0.0,0.0,0.125,0.125,11,1,11
0.125,0.0,2.125,0.125,0.0,0.125,0.125,0.0,0.125,0.125,0.0,0.125,11,1,16
0.125,0.125,2.0,0.125,0.125,0.0,0.125,0.125,0.0,0.125,0.125,0.0,11,1,16
0.0,0.0,2.25,0.0,0.0,0.25,0.0,0.0,0.25,0.0,0.0,0.25,11,1,16
0.0,0.0,0.25,0.0,0.0,0.25,0.0,0.0,0.25,2.0,0.0,0.25,4,1,16
0.0,0.0,0.375,0.0,0.0,0.125,0.0,0.0,0.25,2.0,0.0,0.25,4,1,16
0.375,0.0,0.375,0.125,0.0,0.0,0.0,3.125,0.0,0.0,0.0,0.0,6,1,1
0.75,0.0,0.125,0.25,0.0,0.125,0.0,2.75,0.0,0.0,0.0,0.0,6,1,1
1.125,0.0,0.25,0.0,0.0,0.375,0.0,2.0,0.25,0.0,0.0,0.0,6,1,2
0.0,0.0,0.25,0.0,0.0,0.25,0.0,0.125,0.125,0.0,0.0,1.25,6,1,11
0.625,0.0,0.625,0.25,0.0,0.25,0.0,2.25,0.0,0.0,0.0,0.0,6,1,1
1.25,0.0,0.0,1.25,0.0,0.0,0.25,1.0,0.0,0.25,0.0,0.0,6,1,1
2.25,0.0,0.0,1.125,0.0,0.0,0.25,0.0,0.0,0.375,0.0,0.0,6,1,1
0.0,0.0,1.25,0.0,0.0,0.25,0.0,0.0,0.25,0.0,0.0,2.25,6,1,2
1.125,0.0,1.0,0.75,0.0,0.75,0.0,0.125,0.125,0.0,0.0,0.125,6,1,2
0.25,0.0,0.25,2.25,0.0,0.0,0.0,1.25,0.0,0.0,0.0,0.0,6,1,1
0.0,0.0,2.0,0.0,0.0,0.75,0.125,0.0,0.25,0.125,0.0,0.75,7,1,16
0.0,0.125,2.0,0.0,0.0,0.75,0.0,0.0,0.25,0.0,0.0,0.875,6,1,16
0.0,0.0,2.125,0.0,0.0,0.75,0.125,0.0,0.25,0.0,0.0,0.75,5,1,16
0.0,0.0,2.125,0.0,0.0,0.75,0.0,0.0,0.25,0.0,0.0,0.875,4,1,16
0.0,0.0,0.75,0.125,0.0,0.25,0.0,0.125,0.75,0.0,0.0,2.0,6,1,11
1.25,0.0,0.25,0.25,0.0,0.0,0.625,0.625,1.0,0.0,0.0,0.0,6,1,13
0.25,0.0,0.375,0.25,0.0,0.0,0.0,3.125,0.0,0.0,0.0,0.0,6,1,1
0.25,0.125,0.125,0.0,0.0,0.0,0.0,2.25,0.0,0.0,0.0,0.25,6,1,11
0.0,0.0,2.125,0.0,0.0,0.25,0.0,0.0,1.25,0.0,0.125,1.25,7,1,16
0.0,0.0,2.125,0.0,0.0,1.25,0.0,0.0,1.25,0.0,0.125,0.25,6,1,16
1.25,0.0,0.0,2.125,0.0,0.125,0.125,0.0,0.0,1.25,0.125,0.0,4,1,16
0.0,0.0,1.25,0.0,0.0,1.25,0.0,0.125,0.25,0.0,0.0,2.125,7,1,16
0.0,1.0,0.25,0.125,0.0,1.25,0.0,0.125,0.25,0.0,0.0,2.0,6,1,2
1.25,0.0,0.25,0.75,0.0,0.125,0.0,0.625,1.0,0.0,0.0,0.0,6,1,4
1.25,0.0,0.375,1.25,0.0,0.0,0.0,2.125,0.0,0.0,0.0,0.0,6,1,1
