0,1,2,3,4,5,6,7,8,9,10,11,key,major/minor,chordStyle
5.0,0.0,0.25,0.0,0.75,0.0,0.0,4.0,0.0,0.5,0.0,0.0,5,0,1
1.5,0.0,2.75,0.0,0.25,0.75,0.0,4.0,0.0,0.5,0.0,0.75,5,0,5
2.75,0.0,1.25,0.0,1.75,0.0,0.25,2.0,0.0,2.5,0.0,0.0,5,0,1
0.0,0.0,4.0,0.0,0.5,0.75,0.0,4.25,0.0,0.25,0.0,0.75,5,0,5
5.0,0.0,0.25,0.0,0.75,0.0,0.0,4.0,0.0,0.5,0.0,0.0,5,0,1
1.5,0.0,2.75,0.0,0.25,0.75,0.0,4.0,0.0,0.5,0.0,0.75,5,0,5
1.5,0.0,1.5,0.0,2.25,0.25,0.25,2.5,0.0,1.75,0.0,0.5,5,0,5
5.25,0.0,0.0,0.0,0.75,0.0,0.0,3.75,0.0,0.75,0.0,0.0,5,0,1
5.0,0.0,0.25,0.0,0.75,0.0,0.0,4.0,0.0,0.5,0.0,0.0,5,0,1
1.5,0.0,2.75,0.0,0.25,0.75,0.0,4.0,0.0,0.5,0.0,0.75,5,0,5
2.75,0.0,1.25,0.0,1.75,0.0,0.25,2.0,0.0,2.5,0.0,0.0,5,0,1
0.0,0.0,4.0,0.0,0.5,0.75,0.0,4.25,0.0,0.25,0.0,0.75,5,0,5
5.0,0.0,0.25,0.0,0.75,0.0,0.0,4.0,0.0,0.5,0.0,0.0,5,0,1
1.5,0.0,2.75,0.0,0.25,0.75,0.0,4.0,0.0,0.5,0.0,0.75,5,0,5
1.0,0.0,1.5,0.0,2.25,0.25,0.25,3.0,0.0,1.75,0.0,0.5,5,0,1
5.25,0.0,0.0,0.0,0.75,0.0,0.0,3.75,0.0,0.75,0.0,0.0,5,0,1
0.0,0.0,4.25,0.0,0.75,0.5,0.25,0.75,0.0,3.0,0.0,1.0,10,0,5
5.0,0.0,0.75,0.0,0.5,0.25,0.0,4.0,0.0,0.0,0.0,0.0,10,0,1
0.0,0.0,4.0,0.0,0.75,0.75,0.0,1.0,0.0,3.0,0.0,1.0,8,0,5
