offset,key,numeral,score
0.0,I,f Minor,0.956402
1.0,IIdim,f Minor,0.637601
1.5,I,f Minor,0.956402
2.5,IV,f Minor,0.624147
3.0,I+,f Minor,0.884974
4.0,IV,f Minor,0.608235
4.5,I,f Minor,0.912353
5.5,IIdim,f Minor,0.608235
6.0,I,f Minor,0.912353
7.0,IV,f Minor,0.608235
7.5,I,f Minor,0.896088
9.5,III,f Minor,0.687118
10.5,I+,f Minor,0.696112
12.5,I,f Minor,0.951546
13.0,IIdim,f Minor,0.634364
13.5,I,f Minor,0.951546
14.5,IV,f Minor,0.624147
15.0,I+,f Minor,0.884974
16.0,IV,f Minor,0.608235
16.5,I,f Minor,0.912353
17.5,III,f Minor,0.608235
18.0,I+,f Minor,0.608235
19.0,V+,f Minor,0.57847
19.5,I+,f Minor,0.84611
20.0,V+,f Minor,0.634583
21.0,#IVdim,f Minor,0.634583
21.5,GerVI,f Minor,0.84611
22.5,I,f Minor,0.565897
23.5,ItaVI,f Minor,0.919068
24.25,I,f Minor,0.936221
25.0,IIdim,f Minor,0.624147
25.5,I,f Minor,0.936221
26.5,IV,f Minor,0.624147
27.0,I+,f Minor,0.884974
28.0,IV,f Minor,0.608235
28.5,I,f Minor,0.912353
29.5,IIdim,f Minor,0.608235
30.0,I,f Minor,0.912353
31.0,IV,f Minor,0.608235
31.5,I,f Minor,0.896088
33.5,III,f Minor,0.687118
34.5,I+,f Minor,0.696112
36.5,I,f Minor,0.951546
37.0,IIdim,f Minor,0.634364
37.5,I,f Minor,0.951546
38.5,IV,f Minor,0.624147
39.0,I+,f Minor,0.884974
40.0,IV,f Minor,0.608235
40.5,I,f Minor,0.912353
41.5,III,f Minor,0.608235
42.0,I+,f Minor,0.608235
43.0,V+,f Minor,0.57847
43.5,I+,f Minor,0.903102
44.0,V+,f Minor,0.694266
45.0,I,f Minor,0.925687
48.25,IV+,f Minor,0.617125
49.5,I,f Minor,0.617125
50.0,III,E- Major,0.585227
51.0,I,E- Major,0.658381
52.5,I,A- Major,0.907058
53.0,V,D- Major,0.596824
54.0,I,D- Major,0.907848
57.0,I+,a- Minor,0.938441
60.0,III,a- Minor,0.938441
61.5,I,C- Major,0.599954
61.75,IVaug,D- Major,0.605282
63.0,III,D- Major,0.617853
63.5,I,D- Major,0.926779
64.5,IV,D- Major,0.926779
67.0,II,D- Major,0.926779
67.5,IV,D- Major,0.918714
69.0,I,D- Major,0.918714
72.0,I,d- Minor,0.61601
73.0,#IVdim,f- Minor,0.413132
73.75,I,f- Minor,0.496693
75.0,I,e Minor,0.845131
76.0,IV,e Minor,0.64249
77.0,I,e Minor,0.428327
77.5,I,C Major,0.833018
78.0,I,d- Minor,0.828922
79.5,IV+,d- Minor,0.621691
81.0,I,b- Minor,0.388871
81.5,III,G- Major,0.588338
84.0,V,G- Major,0.588338
84.5,I,D- Major,0.85963
88.5,VI,E- Major,0.509266
89.0,IIdim,f Minor,0.539483
90.25,IV+,f Minor,0.918875
90.5,VI,f Minor,0.918875
91.0,I+,f Minor,0.612583
91.75,V+,f Minor,0.918875
93.0,IV+,f Minor,0.609209
93.5,I,D- Major,0.907058
94.0,I+,f Minor,0.678991
94.75,I,C Major,0.907058
96.25,I,D- Major,0.85963
97.5,IIdim,f Minor,0.574846
98.0,#IVdim,D- Major,0.641823
99.625,I,A- Major,0.520838
101.25,I,D- Major,0.907058
102.25,V+,f Minor,0.523639
102.75,IIdim,f Minor,0.523639
