0.0,I,a Minor,0.642857
3.0,IIdim7,a Minor,0.611111
5.0,VI,a Minor,0.458333
6.0,I,a Minor,0.642857
9.0,IIdim7,a Minor,0.611111
11.0,VI,a Minor,0.458333
12.0,GerVI,a Minor,222443/500000
14.0,I,a Minor,0.628946
16.0,III,a Minor,0.5
17.0,I+,a Minor,0.5
19.0,IIdim,a Minor,0.5625
20.0,V+7,a Minor,0.513889
21.0,III,a Minor,0.533333
23.0,V+7,a Minor,0.611111
24.0,I,a Minor,0.642857
27.0,IIdim7,a Minor,0.611111
29.0,VI,a Minor,0.458333
30.0,I,a Minor,0.642857
33.0,IIdim7,a Minor,0.611111
35.0,VI,a Minor,0.458333
36.0,GerVI,a Minor,222443/500000
38.0,I,a Minor,0.628946
40.0,III,a Minor,0.5
41.0,I+,a Minor,0.5
43.0,IIdim,a Minor,0.666667
44.0,V+7,a Minor,0.5
45.0,I,a Minor,0.530612
52.0,IV+,a Minor,0.5
54.0,DimVII7,a Minor,0.625
56.0,DimVII7,a Minor,0.469136
58.0,V+,d Minor,0.5
61.0,V+,d Minor,541667/1000000
63.0,I,d Minor,0.75
64.0,I,d Minor,0.514286
65.0,III,d Minor,0.5625
66.0,I,d Minor,0.612245
68.0,III,d Minor,0.515625
69.0,I+,d Minor,0.6
70.0,VII,d Minor,160677/500000
71.0,IIdim,d Minor,22881/40000
72.0,V,d Minor,339479/500000
74.0,V,d Minor,0.444408
18241/240,DimVII,a Minor,0.666667
18961/240,III,d Minor,416667/1000000
19201/240,III,d Minor,458333/1000000
19441/240,III,d Minor,0.625
20161/240,V+7,d Minor,0.585859
20641/240,V+7,d Minor,0.55
20881/240,I,d Minor,0.607143
21361/240,I,d Minor,0.545455
21841/240,V+7,d Minor,0.55
22081/240,V+7,d Minor,0.487179
22321/240,I,d Minor,0.555556
22561/240,I,d Minor,0.680556
22801/240,V+,d Minor,0.52381
23281/240,V,d Minor,0.385714
24001/240,III,a Minor,0.875
24241/240,I,a Minor,0.642857
24721/240,III,a Minor,0.566667
24961/240,V+7,a Minor,0.52
25201/240,I,a Minor,0.39375
26401/240,II,C Major,0.55
26641/240,IV,C Major,0.75
26881/240,VI,C Major,0.74
27601/240,II,C Major,0.5
27841/240,II,C Major,0.5
28081/240,IV,C Major,0.666667
28321/240,VI,C Major,0.6
28801/240,III,C Major,269231/500000
29281/240,DimVII,C Major,0.55
29521/240,IV,a Minor,0.733333
29761/240,I,a Minor,0.592742
30481/240,IIdim,a Minor,0.5
30721/240,DimVII,a Minor,0.5
30961/240,IV+,a Minor,0.666667
31201/240,I,a Minor,0.75
31441/240,VI,a Minor,0.5625
31681/240,VI,a Minor,0.444444
32161/240,IV,a Minor,0.541667
32401/240,IV,C Major,0.75
32641/240,VI,C Major,0.74
33361/240,II,C Major,0.5
33601/240,II,C Major,0.5
33841/240,IV,C Major,0.666667
34081/240,VI,C Major,0.6
34561/240,III,C Major,269231/500000
35041/240,DimVII,C Major,0.55
35281/240,II,C Major,0.75
35521/240,VI,C Major,0.59447
36241/240,II,A Major,0.75
36481/240,DimVII,A Major,0.75
36721/240,IV,A Major,0.75
36961/240,V,A Major,0.75
37201/240,I,A Major,0.583333
37681/240,III,A Major,0.75
38161/240,II7,A Major,0.625
38881/240,V7,A Major,0.42
39361/240,IV,A Major,0.5
39601/240,VI,A Major,0.75
40321/240,IIdim,f# Minor,0.542857
41041/240,DimVII,A Major,0.5
41521/240,IV,A Major,0.56
42001/240,I,b Minor,0.64
42241/240,I,b Minor,0.733333
42721/240,I,b Minor,0.444444
42961/240,IV+,b Minor,0.6
43201/240,VII,b Minor,0.75
43921/240,III,b Minor,0.5625
44641/240,V7,A Major,0.42
45121/240,IV,A Major,0.5
45361/240,GerVI,A Major,0.475
46321/240,I,A Major,0.833333
46561/240,III,A Major,0.5
47281/240,I,A Major,0.542857
47761/240,IV,A Major,0.518519
48001/240,III,A Major,0.428571
48241/240,I,A Major,0.45
49681/240,IV,a Minor,0.5625
50401/240,V+7,a Minor,0.415385
50881/240,IV+,a Minor,0.482143
51121/240,VI,a Minor,0.75
51841/240,V+7,a Minor,0.6
52561/240,I,a Minor,0.76
53281/240,IV,a Minor,0.666667
53521/240,bII,a Minor,0.675
54001/240,V+,a Minor,1.0
54241/240,V+7,a Minor,0.507692
54481/240,V+7,a Minor,0.6
54721/240,I,a Minor,0.7
55441/240,IV,a Minor,0.5625
56161/240,V+7,a Minor,0.415385
56641/240,IV+,a Minor,0.482143
56881/240,GerVI,a Minor,0.466667
57841/240,I,a Minor,0.833333
