0.0,IV,E Major,0.48
3.0,III,E Major,0.75
4.0,I,E Major,0.571429
6.0,V7,E Major,0.625
8.0,II,E Major,0.5
9.0,VI,E Major,0.75
11.0,V,E Major,0.833333
12.0,I,E Major,0.45
13.0,III,f# Minor,0.5
16.0,DimVII,f# Minor,0.530303
18.0,III,f# Minor,1.0
19.0,DimVII7,f# Minor,0.607143
20.0,V+7,f# Minor,0.487179
21.0,II,E Major,0.5625
24.0,II,E Major,0.625
25.0,III,E Major,0.619048
27.0,VI,E Major,666667/1000000
28.0,I,E Major,0.392857
30.0,I,E Major,0.75
31.0,V7,E Major,0.512987
33.0,IV,E Major,0.571429
35.0,I,E Major,0.6875
36.0,I,E Major,99517/200000
37.0,V7,E Major,0.625
41.0,VI,E Major,0.75
43.0,V,E Major,0.833333
44.0,I,E Major,0.45
45.0,II,B Major,0.272727
48.0,IV,B Major,0.75
49.0,V,B Major,0.6
50.0,V7,B Major,0.625
51.0,DimVII,B Major,0.833333
52.0,II,B Major,0.607143
54.0,DimVII,B Major,0.5
55.0,VI,B Major,0.6
56.0,VI,B Major,0.4
57.0,IV,B Major,0.475
60.0,V,B Major,0.49
62.0,V7,B Major,0.625
63.0,I,B Major,0.75
66.0,I,B Major,0.4375
67.0,VI,B Major,0.75
68.0,IV,B Major,0.5625
69.0,V7,F# Major,0.625
71.0,I,F# Major,0.666667
74.0,III,F# Major,0.555556
75.0,III,F# Major,0.833333
76.0,I,F# Major,0.583333
77.0,III,F# Major,0.5
79.0,bVI,F# Major,0.833333
80.0,IV,F# Major,0.5
81.0,V7,F# Major,0.625
84.0,IV,F# Major,0.34
87.0,DimVII,E Major,0.5
88.0,V7,E Major,0.37
90.0,bVI,E Major,236111/500000
91.0,IV,E Major,0.291925
94.0,V,E Major,0.75
95.0,II,E Major,0.619048
96.0,II7,E Major,0.5
97.0,I,E Major,1.0
98.0,I,E Major,101031/200000
99.0,V,E Major,1/2
100.0,I,E Major,0.56
103.0,DimVII,E Major,0.75
104.0,V,E Major,0.75
105.0,bII,E Major,0.525
108.0,bVI,E Major,0.5625
110.0,III,e Minor,0.6
112.0,III,e Minor,0.388889
115.0,II,E Major,0.833333
116.0,DimVII,E Major,0.5
118.0,III,c# Minor,0.6
120.0,III,c# Minor,0.75
121.0,I,f# Minor,0.476257
122.0,III,f# Minor,245093/500000
123.0,V+7,f# Minor,0.389415
124.0,IV+,f# Minor,0.300147
60001/480,I,c# Minor,0.633333
60481/480,VII,c# Minor,0.5
60961/480,III,c# Minor,0.5
61441/480,VI,c# Minor,0.541667
61921/480,I,c# Minor,0.619048
62401/480,V+,c# Minor,0.56875
62881/480,IIdim,c# Minor,0.53125
63361/480,VI,c# Minor,0.5
63841/480,IV+,c# Minor,0.335227
64321/480,IV+,c# Minor,0.3375
64801/480,IV+,c# Minor,0.388889
65281/480,IV+,c# Minor,0.4375
65761/480,IIdim7,c# Minor,0.546875
66241/480,IIdim7,c# Minor,0.479167
66721/480,VI,c# Minor,0.583333
67201/480,IIdim7,c# Minor,0.402778
67681/480,VI,c# Minor,0.490909
68161/480,I,c# Minor,0.5
68641/480,VI,c# Minor,0.541667
69601/480,I,c# Minor,0.428571
70081/480,I,c# Minor,0.433333
70561/480,VI,c# Minor,0.458333
71041/480,I,c# Minor,0.375
71521/480,V+,c# Minor,0.672727
72001/480,GerVI,c# Minor,0.625
72481/480,V+,c# Minor,0.75
72961/480,GerVI,c# Minor,0.625
73441/480,V+,c# Minor,0.716667
73921/480,DimVII7,c# Minor,0.590909
74881/480,IIdim7,c# Minor,0.611111
75361/480,IIdim7,c# Minor,0.516667
75841/480,DimVII7,c# Minor,0.538462
76321/480,V+7,c# Minor,0.548611
76801/480,DimVII7,c# Minor,0.396104
77281/480,V+7,c# Minor,0.345588
77761/480,VI,c# Minor,0.466667
78241/480,I,c# Minor,0.605042
78721/480,IIdim7,c# Minor,0.45098
79201/480,IIdim,c# Minor,0.388889
79681/480,IIdim,c# Minor,0.375
80161/480,IIdim7,c# Minor,0.408654
80641/480,IIdim7,c# Minor,0.4
81121/480,III,c# Minor,0.535714
81601/480,V,c# Minor,0.373016
82081/480,V,c# Minor,0.671429
82561/480,I,c# Minor,0.266667
83041/480,I,g# Minor,0.613445
83521/480,V+7,g# Minor,0.547059
84001/480,III,g# Minor,0.530303
84481/480,V+7,g# Minor,0.568627
84961/480,I,g# Minor,0.613445
85441/480,V+7,g# Minor,0.529412
85921/480,I,g# Minor,0.492063
86401/480,I,g# Minor,0.377778
87361/480,bII,g# Minor,0.515625
87841/480,bII,g# Minor,0.517857
88321/480,III,g# Minor,0.388889
88801/480,GerVI,e Minor,0.65
89281/480,DimVII7,e Minor,0.678571
89761/480,GerVI,e Minor,0.647727
90241/480,DimVII7,e Minor,0.678571
90721/480,III,a Minor,0.535714
91681/480,IIdim,a Minor,0.5
92161/480,I+,a Minor,0.193427
30937/160,III,a Minor,0.708333
31097/160,I,a Minor,0.447368
31257/160,I,a Minor,0.314286
31417/160,I,a Minor,0.292398
31577/160,I,e Minor,0.56044
31737/160,IV,e Minor,0.458333
31897/160,I,e Minor,0.590476
32057/160,IIdim7,e Minor,0.416667
32217/160,III,b Minor,0.385417
32377/160,III,b Minor,0.364583
32537/160,III,b Minor,0.353846
32697/160,III,b Minor,0.366667
32857/160,VI,b Minor,0.431818
33017/160,V+7,b Minor,0.383929
33177/160,I,b Minor,0.542857
33337/160,V+7,b Minor,0.476923
33497/160,I,b Minor,0.613445
33657/160,V+7,b Minor,0.547059
33817/160,III,b Minor,0.530303
33977/160,V+7,b Minor,0.569444
34137/160,I,b Minor,0.613445
34297/160,V+7,b Minor,0.529412
34457/160,I,b Minor,0.492063
34617/160,I,b Minor,0.468254
34777/160,V+7,a Minor,0.439394
34937/160,I,a Minor,0.462963
35097/160,I,a Minor,0.462963
35257/160,I,a Minor,0.462963
35577/160,I,b Minor,0.428571
35897/160,I,b Minor,0.428571
36057/160,I,F Major,0.625
36697/160,IV,E Major,0.571429
37017/160,III,E Major,0.75
37177/160,I,E Major,0.571429
37497/160,IV,f# Minor,0.571429
37977/160,III,D Major,1.0
38137/160,VI,D Major,0.571429
38297/160,III,D Major,0.75
38457/160,I,D Major,0.571429
38777/160,III,f# Minor,0.75
39257/160,DimVII7,c# Minor,0.625
39577/160,V+,c# Minor,0.833333
40057/160,IIdim,f# Minor,0.666667
40217/160,I,f# Minor,0.7
40537/160,V7,A Major,0.625
40857/160,I,A Major,0.75
41177/160,V+,c# Minor,0.633333
41337/160,IV+,c# Minor,0.527473
41657/160,I,c# Minor,0.535714
41817/160,IIdim,c# Minor,1.0
41977/160,I,c# Minor,0.5625
42137/160,DimVII,c# Minor,0.5
42617/160,V,A Major,666667/1000000
43097/160,I+,c# Minor,0.333333
43257/160,I,c# Minor,385839/1000000
43897/160,IV+,c# Minor,194517/500000
44057/160,III,c# Minor,0.529127
44217/160,IIdim,c# Minor,0.47051
44377/160,IIdim,c# Minor,1
33283/120,I,c# Minor,0.633333
33403/120,VII,c# Minor,0.5
33523/120,IIdim,c# Minor,0.5
33643/120,VI,c# Minor,0.541667
