0.0,I,e Minor,9/16
1.0,I,e Minor,9/16
2.0,I,e Minor,0.55625
3.0,I,e Minor,0.5582706766917294
4.0,I,e Minor,7/12
5.0,I,e Minor,33/56
6.0,V+7,e Minor,251/770
9.0,V+,e Minor,25/64
10.0,I,e Minor,0.4318181818181818
11.0,V+7,e Minor,0.41871794871794865
13.0,IIdim7,e Minor,55/153
14.0,IIdim7,e Minor,11/27
15.0,V+7,e Minor,278/775
16.0,I+,b Minor,73/198
17.0,I+,b Minor,161/396
18.0,I,b Minor,38/75
20.0,GerVI,b Minor,50/99
21.0,V+7,b Minor,1/3
23.0,V+7,b Minor,97/272
24.0,I,b Minor,23/36
25.0,GerVI,b Minor,73/121
26.0,I,b Minor,2/3
27.0,I,b Minor,41/105
28.0,IIdim7,b Minor,56/117
29.0,V+7,b Minor,467/1140
31.0,V,b Minor,203/720
33.0,IV,b Minor,5/14
34.0,IV,b Minor,793/1890
36.0,I,e Minor,43/72
37.0,I,e Minor,3/5
38.0,V+7,e Minor,2839/9175
41.0,V+7,e Minor,473/1350
43.0,V+7,e Minor,298/945
46.0,V+7,e Minor,448/1377
48.0,V+,e Minor,53/150
49.0,V+,e Minor,69/170
50.0,V,e Minor,57/104
52.0,V,e Minor,91/192
53.0,III,e Minor,5/13
54.0,III,e Minor,671/1836
56.0,II7,C Major,0.35975155279503107
57.0,II7,C Major,0.3473801560758083
58.0,VI,C Major,13/27
60.0,IV+,e Minor,65/192
62.0,VII,e Minor,11/18
63.0,V+7,e Minor,183/532
64.0,V+7,e Minor,187/512
66.0,V,e Minor,965/2592
68.0,V,e Minor,23/36
69.0,V+7,e Minor,119/430
72.0,V+7,e Minor,22/45
73.0,V+7,e Minor,11/32
74.0,I,e Minor,13/21
75.0,V,e Minor,17/54
77.0,V+7,b Minor,11/31
78.0,V+7,b Minor,47211/155474
83.0,I+,b Minor,53/128
84.0,I,B Major,4/7
87.0,I,B Major,8/15
88.0,I,B Major,0.5467532467532468
89.0,I,B Major,0.39080459770114945
90.0,I,B Major,0.29509379509379513
91.0,VI,B Major,0.4666666666666667
92.0,II7,B Major,11/18
93.0,II7,B Major,27/44
94.0,DimVII7,B Major,1007/3456
96.0,DimVII7,B Major,7/18
97.0,V7,B Major,43/119
98.0,V7,B Major,95/272
99.0,V7,B Major,37/96
100.0,I,B Major,55/144
101.0,I,B Major,23/60
106.0,I,B Major,3/7
107.0,II7,B Major,86/209
108.0,DimVII7,B Major,41/104
112.0,V7,B Major,3/8
113.0,V7,B Major,155/442
114.0,V7,B Major,245/799
116.0,I,B Major,29/90
117.0,I,B Major,0.5448717948717948
119.0,bII,B Major,0.5532467532467533
120.0,I,e Minor,7/12
121.0,I,e Minor,33/56
122.0,GerVI,e Minor,0.5490909090909091
123.0,V+7,e Minor,0.3681159420289855
124.0,V+7,e Minor,47/91
125.0,V+,e Minor,25/64
126.0,V+7,e Minor,121/325
127.0,V+7,e Minor,101/275
128.0,V+7,e Minor,6/13
129.0,I,e Minor,21/44
130.0,V+,e Minor,376/1029
132.0,V+7,b Minor,0.34154678094072033
134.0,III,b Minor,799/2500
137.0,III,b Minor,151/360
138.0,V+7,b Minor,1679/4446
139.0,V+7,b Minor,22069/62772
142.0,DimVII,b Minor,893/2426
143.0,V+,b Minor,6050/16653
144.0,V+7,b Minor,74726710/221814879
35521/240,V+7,e Minor,539/1040
35761/240,IV,e Minor,73/196
36001/240,I,e Minor,856/2079
36481/240,I,e Minor,43/72
36721/240,I,e Minor,3/5
36961/240,V+7,e Minor,2839/9175
37681/240,V+,e Minor,5/14
37921/240,V+7,e Minor,909/2600
38161/240,IV,e Minor,23/63
38401/240,V+7,e Minor,47/104
38641/240,IIdim7,e Minor,299/900
38881/240,V+7,e Minor,448/1377
39361/240,V+,e Minor,53/150
39601/240,V+,e Minor,69/170
39841/240,V+7,e Minor,85/156
40321/240,V+7,e Minor,107/234
40561/240,V+7,e Minor,121/270
40801/240,V+7,e Minor,209/575
41281/240,I,e Minor,2/3
41521/240,GerVI,e Minor,97/154
41761/240,IIdim7,e Minor,0.34333753055329236
42721/240,V+7,e Minor,4/9
42961/240,V+7,e Minor,289/750
43201/240,I+,e Minor,179/324
43921/240,I+,e Minor,19/36
44161/240,I,E Major,262/675
44641/240,I,E Major,0.29509379509379513
44881/240,VI,E Major,0.4666666666666667
45121/240,II7,E Major,11/18
45361/240,II7,E Major,27/44
45601/240,DimVII7,E Major,1007/3456
46081/240,DimVII7,E Major,7/18
46321/240,V7,E Major,43/119
46561/240,V7,E Major,95/272
46801/240,V7,E Major,37/96
47041/240,I,E Major,55/144
47281/240,I,E Major,43/75
47761/240,I,E Major,8/15
48001/240,I,E Major,13/30
48481/240,I,E Major,0.38571428571428573
48721/240,II7,E Major,0.4284136915715863
48961/240,I,A Major,247/441
49681/240,I,A Major,3/8
49921/240,V7,E Major,3/8
50161/240,V7,E Major,155/442
50401/240,V7,E Major,631/1768
50881/240,I,E Major,151/270
51601/240,DimVII7,E Major,29/72
51841/240,DimVII7,E Major,15/28
52321/240,V7,E Major,464/1275
52801/240,I,E Major,29/55
53041/240,I,E Major,3/5
53281/240,I,E Major,3/5
53521/240,I,E Major,0.53
53761/240,I,E Major,0.75
