0.0,V7,D Major,0.26354515050167227
1.375,IIdim7,b Minor,0.3819444444444444
2.375,V,b Minor,0.3352272727272727
3.375,IV,b Minor,0.32575757575757575
4.375,IV,b Minor,0.4444444444444444
5.375,FreVI,b Minor,0.34547908232118757
6.375,I,b Minor,0.5125
8.375,V+7,b Minor,0.346
9.375,V+7,b Minor,0.35000000000000003
10.375,IIdim7,b Minor,0.30518518518518517
11.375,VII,b Minor,0.21785714285714286
12.375,V+7,b Minor,0.30208333333333337
13.375,V+7,b Minor,0.3601190476190476
14.375,IIdim7,b Minor,0.3507692307692308
15.375,IIdim7,b Minor,0.31162196679438053
16.375,IIdim7,b Minor,0.3178571428571429
17.375,IIdim7,b Minor,0.37301587301587297
18.375,DimVII7,b Minor,0.37212276214833756
19.375,V+,b Minor,0.3588235294117647
20.375,V+7,b Minor,0.3571428571428571
21.375,V+7,b Minor,0.41666666666666663
22.375,V+7,b Minor,0.3657142857142857
23.375,V+7,b Minor,0.3755555555555556
24.375,DimVII7,b Minor,0.3735119047619047
25.375,V+7,b Minor,0.39166666666666666
26.375,V+7,b Minor,0.29828571428571427
27.375,I,b Minor,0.3543956043956044
28.375,V+7,b Minor,0.41626016260162596
29.375,V+7,b Minor,0.3338461538461538
30.375,IIdim7,b Minor,0.3444444444444444
31.375,V,b Minor,0.5462184873949578
32.375,V+7,b Minor,0.31598915989159876
33.375,V+7,b Minor,0.3125564588979224
34.375,V+7,b Minor,0.31554878048780494
35.375,V+7,b Minor,0.5037037037037038
36.375,I,f# Minor,0.6583333333333333
37.375,I,f# Minor,0.65174456879526
38.375,I,f# Minor,0.56
39.375,IIdim7,f# Minor,0.3953853046594983
40.375,V+7,f# Minor,0.39542124542124546
41.375,V+7,f# Minor,0.3386666666666667
42.375,I,f# Minor,0.3888888888888889
43.375,I,f# Minor,0.6573853989813243
44.375,GerVI,f# Minor,0.3201496026180458
45.375,V+7,f# Minor,0.2972972972972973
47.375,III,f# Minor,0.3177083333333333
48.375,GerVI,f# Minor,0.2698412698412698
49.375,V+7,f# Minor,0.3201058201058201
50.375,III,f# Minor,0.2677083333333334
51.375,GerVI,f# Minor,0.31193181818181814
52.375,GerVI,f# Minor,0.32777777777777783
53.375,GerVI,f# Minor,0.41196236559139787
54.375,I,f# Minor,0.6471673254281951
55.375,I,f# Minor,0.46202380952380956
56.375,GerVI,f# Minor,0.33614627285513365
57.375,V+7,f# Minor,0.3246376811594203
58.375,GerVI,f# Minor,0.2933634992458522
59.375,GerVI,f# Minor,0.2505175983436853
60.375,V+7,f# Minor,0.2837611607142857
61.375,IIdim7,f# Minor,0.42435185185185187
63.375,IIdim7,f# Minor,0.4541666666666667
64.375,V+7,f# Minor,0.345
65.375,V+7,f# Minor,0.42499999999999993
66.375,IIdim7,f# Minor,0.36574074074074076
67.375,IIdim7,f# Minor,0.4888888888888888
68.375,V+7,f# Minor,0.38963414634146337
69.375,V+7,f# Minor,0.42499999999999993
70.375,III,f# Minor,0.5243055555555556
71.375,III,f# Minor,0.44212962962962965
72.375,IV+,f# Minor,0.3207317073170731
73.375,IV+,f# Minor,0.38541666666666663
74.375,III,f# Minor,0.3333333333333333
76.375,V+7,e Minor,0.38963414634146337
77.375,V+7,e Minor,0.375
78.375,I,e Minor,0.6301020408163266
83.375,III,e Minor,0.3346938775510204
86.375,III,e Minor,0.40909090909090906
87.375,III,e Minor,0.4852941176470589
93.375,I,b Minor,0.5691699604743083
94.375,IIdim7,b Minor,0.43567251461988304
96.375,DimVII7,b Minor,0.4480769230769231
97.375,V+7,b Minor,0.37400705052878974
98.375,V+7,b Minor,0.2878177922167693
100.375,DimVII7,b Minor,0.4223646723646724
101.375,V+7,b Minor,0.33470238095238103
103.375,V+7,b Minor,0.3035714285714286
104.375,V+7,b Minor,0.3981818181818182
105.375,V+7,b Minor,0.2238175675675676
106.375,GerVI,b Minor,0.23369360902255643
107.375,V+7,b Minor,0.308125
108.375,IIdim7,b Minor,0.34035714285714286
110.375,V,b Minor,0.3352272727272727
111.375,III,b Minor,0.3352272727272727
112.375,V+7,b Minor,0.364
113.375,V+7,b Minor,0.4
114.375,V+7,b Minor,0.38333333333333336
116.375,I,b Minor,0.75
