offset,key
0.0,g Minor
3.0,g Minor
6.0,g Minor
8.0,g Minor
11.0,g Minor
13.0,g Minor
14.0,g Minor
16.0,g Minor
17.0,g Minor
19.0,g Minor
20.0,g Minor
21.0,g Minor
24.0,g Minor
28.0,g Minor
31.0,g Minor
32.0,g Minor
35.0,g Minor
36.0,B- Major
37.0,B- Major
38.0,B- Major
40.0,B- Major
41.0,B- Major
43.0,B- Major
44.0,B- Major
45.0,B- Major
50.0,B- Major
51.0,B- Major
55.0,F Major
56.0,F Major
57.0,F Major
62.0,B- Major
63.0,B- Major
64.0,B- Major
67.0,B- Major
70.0,B- Major
72.0,G Major
73.0,G Major
