offset,key
0.0,f Minor
1.0,f Minor
2.0,f Minor
3.0,f Minor
5.0,f Minor
6.0,f Minor
7.0,f Minor
8.0,f Minor
11.0,f Minor
12.0,f Minor
13.0,f Minor
14.0,f Minor
15.0,f Minor
17.0,f Minor
18.0,f Minor
19.0,f Minor
20.0,f Minor
21.0,f Minor
22.0,f Minor
24.0,f Minor
25.0,f Minor
26.0,f Minor
27.0,f Minor
29.0,f Minor
30.0,f Minor
31.0,f Minor
32.0,f Minor
35.0,f Minor
36.0,f Minor
37.0,f Minor
38.0,f Minor
39.0,f Minor
41.0,f Minor
42.0,f Minor
43.0,f Minor
44.0,f Minor
45.0,f Minor
49.0,f Minor
50.0,f Minor
51.0,f Minor
52.0,f Minor
53.0,f Minor
54.0,f Minor
57.0,D- Major
60.0,D- Major
62.0,D- Major
63.0,D- Major
64.0,D- Major
65.0,D- Major
69.0,C- Major
70.0,C- Major
71.0,C- Major
73.0,C- Major
