offset,key
0.0,A- Major
10.0,c Minor
11.0,E- Major
12.0,A- Major
19.0,E- Major
20.0,A- Major
30.375,f Minor
35.375,C Major
36.375,A- Major
42.375,c Minor
43.375,E- Major
44.375,A- Major
51.375,E- Major
52.375,A- Major
59.375,G- Major
60.125,f Minor
69.38541666666667,a- Minor
71.38541666666667,A- Major
71.88541666666667,c Minor
72.38541666666667,A- Major
75.38541666666667,c Minor
79.88541666666667,G Major
81.38541666666667,f Minor
92.38541666666667,C Major
95.38541666666667,b- Minor
96.13541666666667,f Minor
100.38541666666667,A- Major
107.38541666666667,f Minor
111.38541666666667,E- Major
111.88541666666667,A- Major
115.38541666666667,E- Major
116.38541666666667,A- Major
123.38541666666667,G- Major
124.38541666666667,f Minor
133.38541666666666,a- Minor
135.38541666666666,A- Major
135.88541666666666,c Minor
136.38541666666666,A- Major
139.38541666666666,c Minor
143.88541666666666,G Major
145.38541666666666,f Minor
156.38541666666666,C Major
159.38541666666666,b- Minor
160.13541666666666,f Minor
164.38541666666666,A- Major
171.38541666666666,f Minor
175.38541666666666,E- Major
175.88541666666666,A- Major
187.38541666666666,G- Major
189.39375,f Minor
193.39375,F Major
194.64375,f Minor
201.39375,F Major
202.64375,f Minor
205.39375,c Minor
210.39375,C Major
211.64375,c Minor
217.39375,C Major
218.64375,c Minor
221.39375,g Minor
231.39375,f Minor
237.39375,b- Minor
238.39375,C Major
239.64375,f Minor
245.39375,c Minor
246.64375,e- Minor
247.39375,A- Major
247.89375,b- Minor
253.39375,e- Minor
254.39375,F Major
255.64375,b- Minor
260.89375,G- Major
267.39375,b- Minor
270.89375,C Major
275.39375,D- Major
277.39375,b- Minor
278.14375,d- Minor
278.89375,C Major
279.89375,A- Major
281.39375,f Minor
284.89375,C Major
285.89375,D- Major
286.89375,B- Major
287.39375,A Major
289.89375,f Minor
291.39375,c Minor
291.89375,E- Major
292.14375,A- Major
299.39375,f Minor
303.39375,A- Major
306.39375,C Major
307.39375,f Minor
311.89375,F Major
312.39375,B- Major
315.39375,E- Major
315.64375,f Minor
317.39375,D- Major
318.39375,A- Major
319.39375,G- Major
320.39375,A- Major
322.64375,C Major
323.39375,f Minor
327.39375,B- Major
331.64375,C Major
331.89375,F Major
332.39375,D- Major
334.39375,G- Major
335.89375,a- Minor
336.39375,G- Major
337.39375,a- Minor
338.39375,C Major
339.64375,F Major
340.39375,f Minor
341.39375,F Major
341.89375,e- Minor
342.64375,F Major
343.39375,e- Minor
344.64375,A- Major
345.39375,e- Minor
345.89375,B- Major
346.64375,b- Minor
348.89375,f Minor
349.39375,b- Minor
350.39375,f Minor
352.39375,b- Minor
352.64375,E- Major
353.39375,b- Minor
353.89375,E- Major
354.39375,b- Minor
355.89375,F Major
408.39375,
