offset,key
0.0,G Major
1.0,G Major
2.0,G Major
3.0,G Major
5.0,G Major
6.0,G Major
7.0,G Major
9.0,G Major
10.0,G Major
11.0,G Major
12.0,G Major
13.0,G Major
14.0,G Major
15.0,G Major
16.0,G Major
17.0,G Major
18.0,G Major
19.0,G Major
21.0,G Major
22.0,G Major
23.0,G Major
24.0,G Major
25.0,G Major
27.0,G Major
28.0,D Major
29.0,D Major
30.0,D Major
31.0,D Major
32.0,D Major
33.0,D Major
35.0,D Major
36.0,G Major
37.0,G Major
38.0,G Major
39.0,G Major
41.0,G Major
42.0,G Major
43.0,G Major
44.0,G Major
45.0,G Major
46.0,G Major
47.0,G Major
48.0,G Major
49.0,G Major
50.0,G Major
51.0,G Major
52.0,G Major
53.0,G Major
54.0,G Major
55.0,G Major
57.0,G Major
58.0,G Major
59.0,G Major
60.0,C Major
61.0,C Major
62.0,C Major
63.0,C Major
64.0,C Major
65.0,C Major
66.0,C Major
67.0,C Major
68.0,C Major
69.0,C Major
70.0,C Major
71.0,C Major
73.0,C Major
74.0,C Major
75.0,C Major
77.0,C Major
78.0,C Major
79.0,C Major
81.0,C Major
82.0,C Major
83.0,C Major
84.0,C Major
85.0,C Major
86.0,C Major
87.0,C Major
88.0,C Major
89.0,C Major
90.0,C Major
91.0,C Major
92.0,C Major
93.0,C Major
94.0,C Major
95.0,C Major
