Score,DHD,CSR on Key,CSR on Chord (strict),CSR on Chord (triad),CSR on Chord (jazz),KeyThenChordMode,DTRFModeSeg,DTRFModeIden
anonymous_Twinkle_Twinkle,0.96875,0.96875,0.604167,0.791667,0.604167,False,False,False
anonymous_Twinkle_Twinkle,0.96875,0.96875,0.614583,0.802083,0.614583,False,False,True
anonymous_Twinkle_Twinkle,0.96875,0.96875,0.604167,0.791667,0.604167,False,True,False
anonymous_Twinkle_Twinkle,0.96875,0.96875,0.614583,0.802083,0.614583,False,True,True
anonymous_Twinkle_Twinkle,0.96875,0.96875,0.604167,0.791667,0.604167,True,False,False
anonymous_Twinkle_Twinkle,0.96875,0.96875,0.614583,0.802083,0.614583,True,False,True
anonymous_Twinkle_Twinkle,0.96875,0.96875,0.604167,0.791667,0.604167,True,True,False
anonymous_Twinkle_Twinkle,0.96875,0.96875,0.614583,0.802083,0.614583,True,True,True
Beethoven_L.V._Sonata_in_A-Flat_Major_(Op.110_No.31)_2nd_Movement,0.972805,0.711733,0.36519,0.393162,0.467754,False,False,False
Beethoven_L.V._Sonata_in_A-Flat_Major_(Op.110_No.31)_2nd_Movement,0.972805,0.731935,0.261072,0.3108,0.416472,False,False,True
Beethoven_L.V._Sonata_in_A-Flat_Major_(Op.110_No.31)_2nd_Movement,0.972805,0.711733,0.36519,0.393162,0.467754,False,True,False
Beethoven_L.V._Sonata_in_A-Flat_Major_(Op.110_No.31)_2nd_Movement,0.972805,0.731935,0.261072,0.3108,0.416472,False,True,True
Beethoven_L.V._Sonata_in_A-Flat_Major_(Op.110_No.31)_2nd_Movement,0.972805,0.716395,0.377622,0.39627,0.480186,True,False,False
Beethoven_L.V._Sonata_in_A-Flat_Major_(Op.110_No.31)_2nd_Movement,0.972805,0.775447,0.278166,0.31857,0.433566,True,False,True
Beethoven_L.V._Sonata_in_A-Flat_Major_(Op.110_No.31)_2nd_Movement,0.972805,0.716395,0.377622,0.39627,0.480186,True,True,False
Beethoven_L.V._Sonata_in_A-Flat_Major_(Op.110_No.31)_2nd_Movement,0.972805,0.775447,0.278166,0.31857,0.433566,True,True,True
"Chopin_F._Etude_in_F_Minor,_Op.10_No.9",0.965812,0.874237,0.270452,0.29243,0.364469,False,False,False
"Chopin_F._Etude_in_F_Minor,_Op.10_No.9",0.965812,0.866911,0.06044,0.082418,0.176435,False,False,True
"Chopin_F._Etude_in_F_Minor,_Op.10_No.9",0.965812,0.874237,0.270452,0.29243,0.364469,False,True,False
"Chopin_F._Etude_in_F_Minor,_Op.10_No.9",0.965812,0.866911,0.06044,0.082418,0.176435,False,True,True
"Chopin_F._Etude_in_F_Minor,_Op.10_No.9",0.965812,0.849817,0.253358,0.275336,0.359585,True,False,False
"Chopin_F._Etude_in_F_Minor,_Op.10_No.9",0.965812,0.866911,0.06044,0.082418,0.167888,True,False,True
"Chopin_F._Etude_in_F_Minor,_Op.10_No.9",0.965812,0.849817,0.253358,0.275336,0.359585,True,True,False
"Chopin_F._Etude_in_F_Minor,_Op.10_No.9",0.965812,0.866911,0.06044,0.082418,0.167888,True,True,True
"Chopin_F._Nocturne_in_F_Minor,_Op.55_No.1",0.958374,0.623525,0.310056,0.328421,0.463141,False,False,False
"Chopin_F._Nocturne_in_F_Minor,_Op.55_No.1",0.958374,0.725122,0.172321,0.194359,0.251947,False,False,True
"Chopin_F._Nocturne_in_F_Minor,_Op.55_No.1",0.958374,0.623525,0.310056,0.328421,0.463141,False,True,False
"Chopin_F._Nocturne_in_F_Minor,_Op.55_No.1",0.958374,0.725122,0.172321,0.194359,0.251947,False,True,True
