Score,DHD,CSR on Key,CSR on Chord (strict),CSR on Chord (triad),CSR on Chord (jazz),KeyThenChordMode,DTRFModeSeg,DTRFModeIden
anonymous_Twinkle_Twinkle,0.96875,0.958333,0.770833,0.958333,0.78125,False,False,False
anonymous_Twinkle_Twinkle,0.96875,0.958333,0.770833,0.958333,0.78125,False,False,True
anonymous_Twinkle_Twinkle,0.96875,0.958333,0.770833,0.958333,0.78125,False,True,False
anonymous_Twinkle_Twinkle,0.96875,0.958333,0.770833,0.958333,0.78125,False,True,True
anonymous_Twinkle_Twinkle,0.96875,0.958333,0.770833,0.958333,0.78125,True,False,False
anonymous_Twinkle_Twinkle,0.96875,0.958333,0.770833,0.958333,0.78125,True,False,True
anonymous_Twinkle_Twinkle,0.96875,0.958333,0.770833,0.958333,0.78125,True,True,False
anonymous_Twinkle_Twinkle,0.96875,0.958333,0.770833,0.958333,0.78125,True,True,True
Beethoven_L.V._Sonata_in_A-Flat_Major_(Op.110_No.31)_2nd_Movement,0.971251,0.721057,0.438228,0.453768,0.556333,False,False,False
Beethoven_L.V._Sonata_in_A-Flat_Major_(Op.110_No.31)_2nd_Movement,0.971251,0.721057,0.438228,0.453768,0.556333,False,False,True
Beethoven_L.V._Sonata_in_A-Flat_Major_(Op.110_No.31)_2nd_Movement,0.971251,0.721057,0.438228,0.453768,0.556333,False,True,False
Beethoven_L.V._Sonata_in_A-Flat_Major_(Op.110_No.31)_2nd_Movement,0.971251,0.721057,0.438228,0.453768,0.556333,False,True,True
Beethoven_L.V._Sonata_in_A-Flat_Major_(Op.110_No.31)_2nd_Movement,0.971251,0.721057,0.438228,0.453768,0.556333,True,False,False
Beethoven_L.V._Sonata_in_A-Flat_Major_(Op.110_No.31)_2nd_Movement,0.971251,0.721057,0.438228,0.453768,0.556333,True,False,True
Beethoven_L.V._Sonata_in_A-Flat_Major_(Op.110_No.31)_2nd_Movement,0.971251,0.721057,0.438228,0.453768,0.556333,True,True,False
Beethoven_L.V._Sonata_in_A-Flat_Major_(Op.110_No.31)_2nd_Movement,0.971251,0.721057,0.438228,0.453768,0.556333,True,True,True
"Chopin_F._Etude_in_F_Minor,_Op.10_No.9",0.976801,0.643468,0.262515,0.267399,0.393162,False,False,False
"Chopin_F._Etude_in_F_Minor,_Op.10_No.9",0.976801,0.643468,0.262515,0.267399,0.393162,False,False,True
"Chopin_F._Etude_in_F_Minor,_Op.10_No.9",0.976801,0.643468,0.262515,0.267399,0.393162,False,True,False
"Chopin_F._Etude_in_F_Minor,_Op.10_No.9",0.976801,0.643468,0.262515,0.267399,0.393162,False,True,True
"Chopin_F._Etude_in_F_Minor,_Op.10_No.9",0.976801,0.643468,0.262515,0.267399,0.393162,True,False,False
"Chopin_F._Etude_in_F_Minor,_Op.10_No.9",0.976801,0.643468,0.262515,0.267399,0.393162,True,False,True
"Chopin_F._Etude_in_F_Minor,_Op.10_No.9",0.976801,0.643468,0.262515,0.267399,0.393162,True,True,False
"Chopin_F._Etude_in_F_Minor,_Op.10_No.9",0.976801,0.643468,0.262515,0.267399,0.393162,True,True,True
"Chopin_F._Nocturne_in_F_Minor,_Op.55_No.1",0.958374,0.56813,0.26139,0.2871,0.461564,False,False,False
