offset,c,c#,d,d#,e,f,f#,g,g#,a,a#,b,total,form
0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,Major
1.0,0.0,0.0,1.0,0.0,0.0,1.5,0.0,0.0,0.0,1.0,0.0,0.0,3.5,Major
2.0,0.0,0.0,1.5,0.0,0.5,1.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,Major
3.0,0.0,0.5,1.0,0.0,0.125,0.875,0.0,0.5,0.0,1.0,0.5,0.0,4.5,Major
4.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,Major
5.0,0.0,0.5,1.0,0.0,0.5,0.5,0.0,0.5,0.0,0.5,0.5,0.0,4.0,Major
6.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,Major
7.0,0.0,0.0,2.0,0.0,0.0,0.5,0.0,1.0,0.0,0.5,0.5,0.0,4.5,Major
8.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,7.0,Major
9.0,0.0,0.0,2.0,0.0,0.25,0.25,0.0,1.25,0.0,0.0,1.0,0.0,4.75,Major
10.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,4.0,Major
11.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,4.0,Major
12.0,0.0,0.0,2.5,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,4.5,Major
13.0,0.0,0.0,2.0,0.0,0.0,1.5,0.0,0.0,0.0,1.0,0.0,0.0,4.5,Major
14.0,0.0,0.0,2.0,0.0,0.5,1.0,0.0,0.0,0.0,1.0,0.0,0.0,4.5,Major
15.0,0.0,0.0,2.0,0.0,0.0,1.5,0.0,0.0,0.0,1.5,0.0,0.0,5.0,Major
16.0,0.0,0.0,2.0,0.0,1.75,0.25,0.0,1.0,0.0,0.0,1.0,0.0,6.0,Major
17.0,0.0,0.0,2.0,0.0,1.5,0.0,0.0,1.0,0.0,0.0,1.0,0.0,5.5,Major
18.0,0.0,0.0,1.5,0.0,0.0,1.25,0.0,0.0,0.0,2.75,0.0,0.0,5.5,Major
19.0,0.0,0.5,0.5,0.0,0.25,1.0,0.0,0.5,0.0,3.0,0.0,0.0,5.75,Major
20.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,1.5,0.0,0.0,5.5,Major
21.0,0.0,0.0,2.0,0.0,0.0,1.5,0.0,0.0,0.0,1.0,0.0,0.0,4.5,Major
22.0,0.0,0.0,2.0,0.0,0.5,1.0,0.0,0.0,0.0,1.0,0.0,0.0,4.5,Major
23.0,0.0,0.0,2.0,0.0,0.0,1.5,0.0,0.0,0.0,1.5,0.0,0.0,5.0,Major
24.0,0.0,0.0,2.0,0.0,1.75,0.25,0.0,1.0,0.0,0.0,1.0,0.0,6.0,Major
25.0,0.0,0.0,2.0,0.0,1.5,0.0,0.0,1.0,0.0,0.0,1.0,0.0,5.5,Major
26.0,0.0,0.0,1.5,0.0,0.0,1.25,0.0,0.0,0.0,2.75,0.0,0.0,5.5,Major
27.0,0.0,0.5,0.5,0.0,0.25,1.0,0.0,0.5,0.0,3.0,0.0,0.0,5.75,Major
28.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,1.5,0.0,0.0,5.5,Major
29.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.5,0.0,4.5,Diminished
30.0,0.5,0.0,0.0,0.0,0.0,2.75,0.0,0.25,0.0,1.0,0.0,0.0,4.5,Diminished
31.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.5,0.0,1.0,0.0,0.5,5.0,Minor
32.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.75,0.0,0.25,0.0,0.0,5.0,Minor
33.0,1.5,0.0,0.0,0.0,0.5,0.5,0.0,1.0,0.0,0.5,0.0,0.0,4.0,Diminished
34.0,1.25,0.0,0.0,0.0,0.5,0.5,0.0,0.5,0.0,0.5,0.5,0.0,3.75,Diminished
35.0,2.0,0.0,0.0,0.0,0.5,0.5,0.0,1.5,0.0,0.25,0.25,0.0,5.0,Minor
36.0,0.5,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,4.5,Minor
37.0,0.5,0.0,0.0,0.5,0.5,2.0,0.0,0.5,0.0,0.5,0.5,0.0,5.0,Diminished
38.0,0.25,0.0,1.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.25,0.0,5.0,Diminished
39.0,0.5,0.0,1.0,0.0,0.5,0.0,0.0,1.0,0.0,0.0,2.0,0.0,5.0,Diminished
